Postcode,Price,Rooms,Bedroom2,Bathroom,Car,Landsize,Distance,Propertycount
3000.0,637500.0,1.9852941176470589,1.7692307692307692,1.2615384615384615,0.7936507936507936,0.0,1.7431372549019606,17496.0
3002.0,897500.0,2.0677966101694913,2.1463414634146343,1.4878048780487805,1.075,0.0,1.3983050847457628,3040.0
3003.0,1010000.0,2.5303030303030303,2.491228070175439,1.543859649122807,1.125,71.5,2.4454545454545453,2230.0
3006.0,595000.0,2.0526315789473686,2.0357142857142856,1.3928571428571428,0.9107142857142857,0.0,1.0092105263157896,8400.0
3008.0,795000.0,2.375,2.4,1.8,1.6,0.0,1.7125,4707.0
3011.0,820000.0,2.544,2.549520766773163,1.2971246006389776,1.1772575250836121,217.0,5.839733333333333,6026.855614973262
3012.0,750000.0,2.7364185110663986,2.7766233766233768,1.3229166666666667,1.6518324607329844,325.0,7.623340040241448,3772.8993963782696
3013.0,942500.0,2.8815789473684212,2.896153846153846,1.3923076923076922,1.5461847389558232,305.5,6.702960526315789,6543.0
3015.0,940000.0,3.026086956521739,3.0104895104895104,1.512280701754386,1.7711267605633803,360.0,7.528695652173913,4304.814492753623
3016.0,1225000.0,3.0833333333333335,3.0728155339805827,1.6990291262135921,1.6884422110552764,317.0,7.586250000000001,5682.75
3018.0,857000.0,3.0851063829787235,3.026315789473684,1.5175438596491229,2.0964912280701755,531.0,12.327659574468086,4701.489361702128
3019.0,682000.0,3.010752688172043,2.9705882352941178,1.3676470588235294,1.626865671641791,580.0,9.901075268817205,3589.0
3020.0,653250.0,3.0713128038897892,3.081419624217119,1.2818371607515657,1.8461538461538463,571.5,11.977471636952998,4647.816855753646
3021.0,596500.0,3.1946902654867255,3.252808988764045,1.398876404494382,2.0057471264367814,570.0,14.110619469026549,9725.442477876106
3022.0,620000.0,3.1515151515151514,3.1538461538461537,1.2692307692307692,2.0,604.0,12.8,1281.0
3023.0,620000.0,3.437037037037037,3.4339622641509435,1.8679245283018868,2.19811320754717,538.0,14.8,5126.1407407407405
3024.0,505700.0,3.4225352112676055,3.395348837209302,1.6744186046511629,1.875,550.0,27.2,5262.0
3025.0,765000.0,3.1317365269461077,3.241758241758242,1.4175824175824177,2.4444444444444446,555.5,10.35688622754491,5132.0
3027.0,591000.0,3.7142857142857144,3.6666666666666665,2.0,2.0,445.5,17.6,1999.0
3028.0,610000.0,3.204081632653061,3.2888888888888888,1.6,2.409090909090909,530.5,15.5,5877.6122448979595
3029.0,544000.0,3.3840304182509504,3.3903508771929824,1.7763157894736843,2.1911111111111112,567.0,18.4,12325.574144486693
3030.0,580000.0,3.5015384615384617,3.5490909090909093,1.8218181818181818,1.9485294117647058,548.0,14.7,15140.073846153846
3031.0,843000.0,2.3536977491961415,2.4016064257028114,1.2369477911646587,0.9313304721030042,174.0,3.914469453376206,4661.585209003216
3032.0,950000.0,2.9074446680080483,2.9571045576407506,1.6273458445040214,1.7,318.5,5.891549295774648,5588.585513078471
3033.0,810000.0,3.310344827586207,3.3155080213903743,1.7272727272727273,1.8440860215053763,555.0,12.283189655172412,5629.0
3034.0,815000.0,3.3006134969325154,3.2419354838709675,1.5241935483870968,1.7950819672131149,581.0,10.039877300613497,4502.0
3036.0,775000.0,3.869565217391304,3.9523809523809526,2.0476190476190474,2.25,572.5,14.5,2339.0
3037.0,642000.0,3.668831168831169,3.68,2.048,2.0813008130081303,636.5,18.0,4546.350649350649
3038.0,700500.0,3.5765765765765765,3.588888888888889,1.988888888888889,2.188888888888889,689.5,15.5,4427.5675675675675
